¿¿¿	¿¿¿¿	IP	CR	    AR	DR	    SP	BR	    AC	    PS	NZVC	¿¿¿	¿¿¿¿
0A5	0200	0A5	0000	000	0000	000	0000	0000	004	0100
0A5	0200	0A6	0200	0A5	0200	000	00A5	0000	004	0100
0A6	EE19	0A7	EE19	0C0	0000	000	0019	0000	004	0100	0C0	0000
0A7	AE17	0A8	AE17	0BF	0003	000	0017	0003	000	0000
0A8	0700	0A9	0700	0A8	0700	000	00A8	0004	000	0000
0A9	0C00	0AA	0C00	7FF	0004	7FF	00A9	0004	000	0000	7FF	0004
0AA	D669	669	D669	7FE	00AB	7FE	D669	0004	000	0000	7FE	00AB
669	AC01	66A	AC01	7FF	0004	7FE	0001	0004	000	0000
66A	F203	66B	F203	66A	F203	7FE	066A	0004	000	0000
66B	7E09	66C	7E09	675	0F8B	7FE	0009	0004	008	1000
66C	F005	66D	F005	66C	F005	7FE	066C	0004	008	1000
66D	F804	672	F804	66D	F804	7FE	0004	0004	008	1000
672	AE02	673	AE02	675	0F8B	7FE	0002	0F8B	000	0000
673	EC01	674	EC01	7FF	0F8B	7FE	0001	0F8B	000	0000	7FF	0F8B
674	0A00	0AB	0A00	7FE	00AB	7FF	0674	0F8B	000	0000
0AB	0800	0AC	0800	7FF	0F8B	000	00AB	0F8B	000	0000
0AC	4E13	0AD	4E13	0C0	0000	000	0013	0F8B	000	0000
0AD	EE12	0AE	EE12	0C0	0F8B	000	0012	0F8B	000	0000	0C0	0F8B
0AE	AE0F	0AF	AE0F	0BE	0002	000	000F	0002	000	0000
0AF	0740	0B0	0740	0AF	0740	000	00AF	0001	001	0001
0B0	0C00	0B1	0C00	7FF	0001	7FF	00B0	0001	001	0001	7FF	0001
0B1	D669	669	D669	7FE	00B2	7FE	D669	0001	001	0001	7FE	00B2
669	AC01	66A	AC01	7FF	0001	7FE	0001	0001	001	0001
66A	F203	66B	F203	66A	F203	7FE	066A	0001	001	0001
66B	7E09	66C	7E09	675	0F8B	7FE	0009	0001	008	1000
66C	F005	66D	F005	66C	F005	7FE	066C	0001	008	1000
66D	F804	672	F804	66D	F804	7FE	0004	0001	008	1000
672	AE02	673	AE02	675	0F8B	7FE	0002	0F8B	000	0000
673	EC01	674	EC01	7FF	0F8B	7FE	0001	0F8B	000	0000	7FF	0F8B
674	0A00	0B2	0A00	7FE	00B2	7FF	0674	0F8B	000	0000
0B2	0800	0B3	0800	7FF	0F8B	000	00B2	0F8B	000	0000
0B3	0740	0B4	0740	0B3	0740	000	00B3	0F8A	001	0001
0B4	4E0B	0B5	4E0B	0C0	0F8B	000	000B	1F15	000	0000
0B5	EE0A	0B6	EE0A	0C0	1F15	000	000A	1F15	000	0000	0C0	1F15
0B6	AE06	0B7	AE06	0BD	0001	000	0006	0001	000	0000
0B7	0C00	0B8	0C00	7FF	0001	7FF	00B7	0001	000	0000	7FF	0001
0B8	D669	669	D669	7FE	00B9	7FE	D669	0001	000	0000	7FE	00B9
669	AC01	66A	AC01	7FF	0001	7FE	0001	0001	000	0000
66A	F203	66B	F203	66A	F203	7FE	066A	0001	000	0000
66B	7E09	66C	7E09	675	0F8B	7FE	0009	0001	008	1000
66C	F005	66D	F005	66C	F005	7FE	066C	0001	008	1000
66D	F804	672	F804	66D	F804	7FE	0004	0001	008	1000
672	AE02	673	AE02	675	0F8B	7FE	0002	0F8B	000	0000
673	EC01	674	EC01	7FF	0F8B	7FE	0001	0F8B	000	0000	7FF	0F8B
674	0A00	0B9	0A00	7FE	00B9	7FF	0674	0F8B	000	0000
0B9	0800	0BA	0800	7FF	0F8B	000	00B9	0F8B	000	0000
0BA	4E05	0BB	4E05	0C0	1F15	000	0005	2EA0	000	0000
0BB	EE04	0BC	EE04	0C0	2EA0	000	0004	2EA0	000	0000	0C0	2EA0
0BC	0100	0BD	0100	0BC	0100	000	00BC	2EA0	000	0000
